Table 1
Lead Studio,Audience  score %,Profitability,Rotten Tomatoes %,Worldwide Gross
Fox,69,27.069133981,51.8333333333333,722.5683
Independent,63.5,118.47682256,47.1666666666667,1546.945606
Universal,64.5714285714286,26.615773398,59,1182.572216
Sony,69.5,19.345303532,52,403.120027
Disney,71.8571428571429,44.436057139,65.2857142857143,2020.602585
Warner Bros.,58.3333333333333,38.523662375,36.4166666666667,2081.191904
Lionsgate,53,3.613018453,7,152.592128
Summit,73.2,31.889810096,39.2,1242.262996
20th Century Fox,61,5.064621053,49,156.758
The Weinstein Company,68.6666666666667,3.663341667,71.6666666666667,69.819
New Line,47,2.071,15,20.71
Paramount,58.5,10.375999517,46.25,321.212628
CBS,47,2.202571429,20,77.09
